doc,shootingID,outlet,,
10854,47,foxnews,11/20/18,"Chicago hospital shooting that left officer, doctor dead came after fight over ring, 'broken engagement': reports"
10855,47,foxnews,11/20/18,"Chicago hospital shooting victim was planning wedding in June, 'just wanted to help people,' father says"
10893,47,foxnews,11/20/18,Gunman in Chicago hospital shooting had prior complaint
10982,47,foxnews,11/20/18,The Latest: Gunman in hospital shooting had prior complaint
10983,47,foxnews,11/20/18,The Latest: Hospital says recent shooter drill saved lives
11017,47,foxnews,11/20/18,A look at 3 lives lost in Chicago hospital shooting
11105,47,foxnews,11/20/18,Man enters insanity plea in killing of mom at hospital
16964,47,nytimes,11/20/18,"In Chicago Hospital Shooting, Domestic Violence Flares Into Public View"
17092,47,nytimes,11/20/18,Doctor Killed in Chicago Was Committed to âServing the Underservedâ
11076,47,foxnews,11/21/18,Gunman who fatally shot 3 at hospital killed himself after shot by police: report
3681,49,breitbart,11/19/18,"Four Shot near Denver's Coors Field, Suspect at Large"
11565,53,foxnews,11/25/18,"Shooting outside Papa John's restaurant in Florida leaves 2 dead, 2 injured, police say"
