"","document","topic","gamma","outlet","date"
"379","text50465",4,0.517550971549899,"washingtonpost","2018-10-05"
"380","text10676",1,0.762916578034815,"cnbc","2018-10-06"
"381","text15335",1,0.547019546007887,"dailykos","2018-10-06"
"382","text17593",1,0.832663898419365,"foxnews","2018-10-06"
"383","text17603",1,0.937774455030038,"foxnews","2018-10-06"
"384","text25187",1,0.893257080710209,"huffingtonpost","2018-10-06"
"385","text32992",1,0.867719548600805,"newsweek","2018-10-06"
"386","text33029",1,0.95679893105541,"newsweek","2018-10-06"
"387","text37617",1,0.423957710383469,"newyorker","2018-10-06"
"388","text38824",1,0.679132994420608,"nytimes","2018-10-06"
"389","text38853",1,0.330875294036934,"nytimes","2018-10-06"
"390","text38881",1,0.524425690427081,"nytimes","2018-10-06"
"391","text38887",1,0.959921625607343,"nytimes","2018-10-06"
"392","text6032",2,0.601144859827078,"breitbart","2018-10-06"
"393","text32923",2,0.638546719682514,"newsweek","2018-10-06"
"394","text33002",2,0.527762822146877,"newsweek","2018-10-06"
"395","text38811",2,0.335898885658883,"nytimes","2018-10-06"
"396","text48986",2,0.529566044031928,"townhall","2018-10-06"
"397","text519",3,0.686702738407045,"abcnews","2018-10-06"
"398","text552",3,0.862660480571363,"abcnews","2018-10-06"
"399","text559",3,0.512482322694285,"abcnews","2018-10-06"
"400","text5935",3,0.585371921902615,"breitbart","2018-10-06"
"401","text15331",3,0.547753628223654,"dailykos","2018-10-06"
"402","text17594",3,0.670653552021499,"foxnews","2018-10-06"
"403","text17606",3,0.50905148953284,"foxnews","2018-10-06"
"404","text17610",3,0.680200770326099,"foxnews","2018-10-06"
"405","text17616",3,0.655856854841244,"foxnews","2018-10-06"
"406","text17630",3,0.895907541132224,"foxnews","2018-10-06"
"407","text17667",3,0.553461535751694,"foxnews","2018-10-06"
"408","text32941",3,0.499906331194849,"newsweek","2018-10-06"
"409","text32953",3,0.742561822678965,"newsweek","2018-10-06"
"410","text32956",3,0.458020545337394,"newsweek","2018-10-06"
"411","text33013",3,0.876246479111161,"newsweek","2018-10-06"
"412","text38836",3,0.565295034971891,"nytimes","2018-10-06"
"413","text6040",4,0.537441632286451,"breitbart","2018-10-06"
"414","text15340",4,0.404262268019171,"dailykos","2018-10-06"
"415","text17580",4,0.549229537709167,"foxnews","2018-10-06"
"416","text25247",4,0.49395367408734,"huffingtonpost","2018-10-06"
"417","text38807",4,0.585918437162514,"nytimes","2018-10-06"
"418","text38817",4,0.578083004649646,"nytimes","2018-10-06"
"419","text45591",4,0.798329246125624,"thehill","2018-10-06"
"420","text45605",4,0.698721665853682,"thehill","2018-10-06"
"421","text45611",4,0.814517918219164,"thehill","2018-10-06"
"422","text49612",4,0.605446152765885,"vice","2018-10-06"
"423","text620",1,0.569200342704121,"abcnews","2018-10-07"
"424","text15326",1,0.521226207266348,"dailykos","2018-10-07"
"425","text15349",1,0.422682915965167,"dailykos","2018-10-07"
"426","text45680",1,0.495980993166606,"thehill","2018-10-07"
"427","text6054",2,0.822065483785501,"breitbart","2018-10-07"
"428","text6086",2,0.713466528899908,"breitbart","2018-10-07"
"429","text17681",2,0.390817543641242,"foxnews","2018-10-07"
"430","text29129",2,0.613094289171057,"infowars","2018-10-07"
"431","text38937",2,0.646155648023632,"nytimes","2018-10-07"
"432","text38964",2,0.38163241552371,"nytimes","2018-10-07"
"433","text48184",2,0.669355110953609,"thinkprogress","2018-10-07"
"434","text629",3,0.850532586697745,"abcnews","2018-10-07"
"435","text641",3,0.855006424164214,"abcnews","2018-10-07"
"436","text655",3,0.55551347951556,"abcnews","2018-10-07"
"437","text6074",3,0.558494871561573,"breitbart","2018-10-07"
"438","text6175",3,0.603459904259206,"breitbart","2018-10-07"
"439","text17771",3,0.838123468492744,"foxnews","2018-10-07"
"440","text25253",3,0.87847490007637,"huffingtonpost","2018-10-07"
"441","text32985",3,0.56988356206646,"newsweek","2018-10-07"
"442","text38936",3,0.500197682900924,"nytimes","2018-10-07"
"443","text53584",3,0.832189091858207,"wallstreetjournal","2018-10-07"
"444","text642",4,0.429393396249306,"abcnews","2018-10-07"
"445","text6011",4,0.699413881789567,"breitbart","2018-10-07"
"446","text6080",4,0.859312974129756,"breitbart","2018-10-07"
"447","text6085",4,0.540207093069302,"breitbart","2018-10-07"
"448","text10717",4,0.392569044435718,"cnbc","2018-10-07"
