"","outlet","document","topic","gamma","date","ideology"
"254","breitbart","text9209","3",0.650228372985296,"2018-11-20",4.9
"255","breitbart","text7858","4",0.509971561820584,"2018-11-04",4.9
"256","breitbart","text7864","4",0.576943955937333,"2018-11-04",4.9
"257","breitbart","text7733","2",0.624493714863768,"2018-11-03",4.9
"258","breitbart","text8570","3",0.514730195326545,"2018-11-13",4.9
"259","breitbart","text9474","3",0.762912149744969,"2018-11-24",4.9
"260","breitbart","text7447","2",0.566476855905056,"2018-10-30",4.9
"261","breitbart","text7460","2",0.540805933508899,"2018-10-30",4.9
"262","breitbart","text10033","1",0.472762280941601,"2018-11-30",4.9
"263","breitbart","text6428","4",0.499382135161981,"2018-10-18",4.9
"264","breitbart","text9197","3",0.572321434287698,"2018-11-19",4.9
"265","breitbart","text8580","1",0.724022973222758,"2018-11-12",4.9
"266","breitbart","text8044","5",0.551902108482113,"2018-11-06",4.9
"267","breitbart","text7601","5",0.520421068607833,"2018-11-01",4.9
"268","breitbart","text7349","2",0.460555573944769,"2018-10-29",4.9
"269","breitbart","text8322","5",0.430066121604665,"2018-11-09",4.9
"270","breitbart","text7269","5",0.78160199403666,"2018-10-29",4.9
"271","breitbart","text7832","2",0.581095524349347,"2018-11-04",4.9
"272","breitbart","text6663","1",0.565020522939636,"2018-10-19",4.9
"273","breitbart","text8497","2",0.601277316747573,"2018-11-10",4.9
"274","breitbart","text9405","3",0.916115700055454,"2018-11-23",4.9
"275","breitbart","text9892","2",0.487698938365583,"2018-11-29",4.9
"276","breitbart","text9966","2",0.538157459546209,"2018-11-30",4.9
"277","breitbart","text7468","4",0.631319566430672,"2018-10-30",4.9
"278","breitbart","text5487","2",0.684347398551653,"2018-10-01",4.9
"279","breitbart","text6383","4",0.390275172984646,"2018-10-18",4.9
"280","breitbart","text6981","2",0.574804105627756,"2018-10-24",4.9
"281","breitbart","text6682","4",0.465485036775103,"2018-10-21",4.9
"282","breitbart","text7590","5",0.495228366400164,"2018-11-01",4.9
"283","breitbart","text8336","1",0.361154317515664,"2018-11-08",4.9
"284","breitbart","text8261","3",0.734276187711998,"2018-11-08",4.9
"285","breitbart","text7243","5",0.512205057888825,"2018-10-28",4.9
"286","breitbart","text6042","3",0.478363445603388,"2018-10-05",4.9
"287","breitbart","text9186","1",0.475933352595211,"2018-11-20",4.9
"288","breitbart","text6472","2",0.574609572682748,"2018-10-19",4.9
"289","breitbart","text6785","3",0.690302285304779,"2018-10-22",4.9
"290","breitbart","text7281","5",0.846198887296652,"2018-10-29",4.9
"291","breitbart","text7323","5",0.505592157604772,"2018-10-29",4.9
"292","breitbart","text7701","5",0.533219393985909,"2018-11-01",4.9
"293","breitbart","text9801","3",0.679204765750289,"2018-11-28",4.9
"294","breitbart","text7719","2",0.408363283835688,"2018-11-02",4.9
"295","breitbart","text8108","2",0.56748696836426,"2018-11-07",4.9
"296","breitbart","text6148","3",0.585493031508144,"2018-10-14",4.9
"297","breitbart","text5696","2",0.486135025443816,"2018-10-03",4.9
"298","breitbart","text7971","4",0.452117862494598,"2018-11-05",4.9
"299","breitbart","text6479","2",0.78860923048034,"2018-10-19",4.9
"300","breitbart","text8360","3",0.600369981671915,"2018-11-08",4.9
"301","breitbart","text6798","3",0.735819538174273,"2018-10-22",4.9
"302","breitbart","text9502","2",0.597386476828073,"2018-11-24",4.9
"303","breitbart","text9131","1",0.710953711951607,"2018-11-19",4.9
"304","breitbart","text9166","3",0.783105826774341,"2018-11-19",4.9
"305","breitbart","text9842","2",0.521358599406449,"2018-11-29",4.9
"306","breitbart","text10047","3",0.335296952378332,"2018-11-30",4.9
"307","breitbart","text9125","4",0.499850029679498,"2018-11-19",4.9
"308","breitbart","text6127","2",0.499637974214438,"2018-10-15",4.9
"309","breitbart","text5797","2",0.674951229842177,"2018-10-04",4.9
"310","breitbart","text6074","3",0.558494871561573,"2018-10-07",4.9
"311","breitbart","text9296","2",0.72115380381752,"2018-11-20",4.9
"312","breitbart","text6605","1",0.947503141104508,"2018-10-19",4.9
"313","breitbart","text7531","5",0.77592962025606,"2018-10-31",4.9
"314","breitbart","text9663","2",0.550662196525958,"2018-11-26",4.9
"315","breitbart","text8244","3",0.465249566771543,"2018-11-08",4.9
"316","breitbart","text7092","1",0.324636818705153,"2018-10-26",4.9
"317","breitbart","text7267","3",0.520662024108022,"2018-10-29",4.9
"318","breitbart","text5978","2",0.474615207577393,"2018-10-05",4.9
"319","breitbart","text8241","3",0.801321630896811,"2018-11-08",4.9
"320","breitbart","text9654","3",0.481743034513286,"2018-11-25",4.9
"321","breitbart","text7945","1",0.405164887455244,"2018-11-05",4.9
"322","breitbart","text9165","2",0.556258449326885,"2018-11-19",4.9
"323","breitbart","text8488","2",0.523989203966681,"2018-11-11",4.9
"324","breitbart","text9692","3",0.758179803477974,"2018-11-27",4.9
"325","breitbart","text7381","4",0.352457008944989,"2018-10-30",4.9
"326","breitbart","text8836","2",0.422188573901239,"2018-11-16",4.9
"327","breitbart","text9169","2",0.510695261917041,"2018-11-19",4.9
"328","breitbart","text7989","3",0.522346555574352,"2018-11-06",4.9
"329","breitbart","text8234","3",0.935956552923649,"2018-11-08",4.9
"330","breitbart","text9190","3",0.782678351827845,"2018-11-19",4.9
"331","breitbart","text8200","1",0.304961531818071,"2018-11-08",4.9
"332","breitbart","text6989","4",0.498978381575686,"2018-10-24",4.9
"333","breitbart","text6080","4",0.859312974129756,"2018-10-07",4.9
"334","breitbart","text7886","1",0.317684627419135,"2018-11-05",4.9
"335","breitbart","text5825","4",0.560434289506744,"2018-10-05",4.9
"336","breitbart","text8910","3",0.766998749548815,"2018-11-15",4.9
"337","breitbart","text8323","1",0.426779592741153,"2018-11-08",4.9
"338","breitbart","text7361","2",0.632321608489177,"2018-10-30",4.9
"339","breitbart","text7362","2",0.669831995207568,"2018-10-30",4.9
"340","breitbart","text7101","5",0.537131541719408,"2018-10-26",4.9
"341","breitbart","text9676","4",0.560007962556031,"2018-11-26",4.9
"342","breitbart","text6040","4",0.537441632286451,"2018-10-06",4.9
"343","breitbart","text5761","3",0.82160144526083,"2018-10-04",4.9
"344","breitbart","text7913","4",0.828284398446012,"2018-11-05",4.9
"345","breitbart","text8983","2",0.644885770882715,"2018-11-17",4.9
"346","breitbart","text8232","3",0.685985370119075,"2018-11-08",4.9
"347","breitbart","text7292","5",0.602054004939768,"2018-10-29",4.9
"348","breitbart","text6426","1",0.665728608314017,"2018-10-18",4.9
"349","breitbart","text7824","4",0.305636319468853,"2018-11-04",4.9
"350","breitbart","text7309","2",0.413045300014102,"2018-10-29",4.9
"351","breitbart","text8340","1",0.450757400987723,"2018-11-08",4.9
"352","breitbart","text9126","1",0.406700677393716,"2018-11-19",4.9
"353","breitbart","text6738","2",0.428527236809793,"2018-10-21",4.9
"354","breitbart","text7623","1",0.299765550180299,"2018-11-02",4.9
"355","breitbart","text5912","3",0.900918602390263,"2018-10-04",4.9
"356","breitbart","text8226","3",0.854884088086004,"2018-11-08",4.9
"357","breitbart","text7420","5",0.66034723509132,"2018-10-31",4.9
"358","breitbart","text8384","4",0.396332032506592,"2018-11-09",4.9
"359","breitbart","text8930","2",0.908681051658364,"2018-11-17",4.9
"360","breitbart","text7188","5",0.312487246681586,"2018-10-27",4.9
"361","breitbart","text6955","2",0.656232966019297,"2018-10-24",4.9
"362","breitbart","text7659","2",0.480986739906105,"2018-11-02",4.9
"363","breitbart","text9883","3",0.715866463161955,"2018-11-29",4.9
"364","breitbart","text8333","1",0.370843144270195,"2018-11-09",4.9
"365","breitbart","text8187","2",0.378094338878426,"2018-11-08",4.9
"366","breitbart","text8198","2",0.454872742167659,"2018-11-08",4.9
"367","breitbart","text7444","5",0.693843554580971,"2018-10-31",4.9
"368","breitbart","text8236","3",0.717659423056271,"2018-11-08",4.9
"369","breitbart","text8345","1",0.563569127180268,"2018-11-08",4.9
"370","breitbart","text7205","5",0.474624703424353,"2018-10-29",4.9
"371","breitbart","text7280","2",0.430629651392921,"2018-10-29",4.9
"372","breitbart","text7163","5",0.464981044744019,"2018-10-28",4.9
"373","breitbart","text9839","4",0.363710069905318,"2018-11-29",4.9
"374","breitbart","text8620","2",0.650878886637064,"2018-11-13",4.9
"375","breitbart","text9628","3",0.544013620002424,"2018-11-25",4.9
"376","breitbart","text7258","5",0.502131063197185,"2018-10-29",4.9
"377","breitbart","text7840","4",0.346969645996582,"2018-11-04",4.9
"378","breitbart","text6972","5",0.449943275085818,"2018-10-25",4.9
"379","breitbart","text6446","3",0.720106589667377,"2018-10-17",4.9
"380","breitbart","text7270","5",0.597622540032468,"2018-10-29",4.9
"381","breitbart","text9380","2",0.474411849904449,"2018-11-21",4.9
"382","breitbart","text7884","4",0.340563915176217,"2018-11-05",4.9
"383","breitbart","text9109","1",0.409666517209284,"2018-11-18",4.9
"384","breitbart","text8302","1",0.422276377448026,"2018-11-08",4.9
"385","breitbart","text6573","3",0.479861970933236,"2018-10-18",4.9
"386","breitbart","text9868","1",0.437489704955979,"2018-11-29",4.9
"387","breitbart","text7906","4",0.485884717571847,"2018-11-05",4.9
"388","breitbart","text7088","4",0.511725103666024,"2018-10-26",4.9
"389","breitbart","text10010","3",0.761726634373259,"2018-11-29",4.9
"390","breitbart","text7894","4",0.53582248781482,"2018-11-05",4.9
"391","breitbart","text9115","3",0.971525552248181,"2018-11-19",4.9
"392","breitbart","text6978","4",0.5389497508233,"2018-10-24",4.9
"393","breitbart","text9392","2",0.765683758415248,"2018-11-21",4.9
"394","breitbart","text9629","2",0.761793846995901,"2018-11-25",4.9
"395","breitbart","text8473","2",0.568004204633435,"2018-11-11",4.9
"396","breitbart","text6862","4",0.506888696089205,"2018-10-24",4.9
"397","breitbart","text8319","1",0.389862107944765,"2018-11-09",4.9
"398","breitbart","text6085","4",0.540207093069302,"2018-10-07",4.9
"399","breitbart","text7006","5",0.470934539047875,"2018-10-26",4.9
"400","breitbart","text7823","4",0.523561679003224,"2018-11-03",4.9
"401","breitbart","text7164","5",0.606863620189891,"2018-10-27",4.9
"402","breitbart","text7425","3",0.867835694334811,"2018-10-31",4.9
"403","breitbart","text6480","3",0.375363740286978,"2018-10-18",4.9
"404","breitbart","text8264","5",0.404974935804359,"2018-11-09",4.9
"405","breitbart","text7926","4",0.371939658726736,"2018-11-04",4.9
"406","breitbart","text6310","2",0.479651370913382,"2018-10-16",4.9
"407","breitbart","text7838","4",0.466731750143799,"2018-11-03",4.9
"408","breitbart","text7168","5",0.421758720538569,"2018-10-27",4.9
