"","document","topic","gamma","outlet","date"
"420","text964",3,0.479660844413745,"abcnews","2018-06-08"
"421","text989",3,0.865263160847196,"abcnews","2018-06-08"
"422","text1027",3,0.595692226088443,"abcnews","2018-06-08"
"423","text1170",3,0.865263160847196,"abcnews","2018-06-08"
"424","text10237",3,0.808286087610709,"buzzfeed","2018-06-08"
"425","text10252",3,0.964834260611913,"buzzfeed","2018-06-08"
"426","text10261",3,0.622669280689293,"buzzfeed","2018-06-08"
"427","text10262",3,0.433334412082372,"buzzfeed","2018-06-08"
"428","text14739",3,0.791187272756954,"dailykos","2018-06-08"
"429","text23680",3,0.412181312657756,"foxnews","2018-06-08"
"430","text24500",3,0.790881266752785,"foxnews","2018-06-08"
"431","text28942",3,0.456446395409036,"infowars","2018-06-08"
"432","text30287",3,0.679625133434713,"motherjones","2018-06-08"
"433","text30296",3,0.407290642982912,"motherjones","2018-06-08"
"434","text33257",3,0.6150784491118,"newyorker","2018-06-08"
"435","text33259",3,0.307640547098567,"newyorker","2018-06-08"
"436","text33262",3,0.852479909621761,"newyorker","2018-06-08"
"437","text41893",3,0.919874786660935,"washingtonpost","2018-06-08"
"438","text41898",3,0.898264028710582,"washingtonpost","2018-06-08"
"439","text41942",3,0.684120104214607,"washingtonpost","2018-06-08"
"440","text41968",3,0.274993124692096,"washingtonpost","2018-06-08"
"441","text10233",4,0.427040735958938,"buzzfeed","2018-06-08"
"442","text14713",4,0.3523111881709,"dailykos","2018-06-08"
"443","text14738",4,0.32211149195331,"dailykos","2018-06-08"
"444","text30295",4,0.476756733295759,"motherjones","2018-06-08"
"445","text40207",4,0.351046806483874,"thinkprogress","2018-06-08"
"446","text929",5,0.620818658762728,"abcnews","2018-06-08"
"447","text10229",5,0.365631947872123,"buzzfeed","2018-06-08"
"448","text14694",5,0.786744076263774,"dailykos","2018-06-08"
